"","Stage","Date","Distance","Origin","Destination","Type","Winner","Spe_Winner","Winner_Country","lon_Origin","lat_Origin","lon_Destination","lat_Destination"
"611","14","1989-07-15",240,"Marseille","Gap","Hilly stage","Jelle Nijdam","","NED","5.3699525","43.2961743","6.0820639","44.5612032"
"612","15","1989-07-16",39,"Gap","Orcières-Merlette","Mountain time trial","Steven Rooks","","NED","6.0820639","44.5612032","6.3235516","44.6972064"
"613","16","1989-07-18",175,"Gap","Briançon","Stage with mountain(s)","Pascal Richard","","SUI","6.0820639","44.5612032","6.6436313","44.8984037"
"614","17","1989-07-19",165,"Briançon","Alpe d'Huez","Stage with mountain(s)","Gert-Jan Theunisse","","NED","6.6436313","44.8984037","6.0699443","45.092401"
"615","18","1989-07-20",91.5,"Le Bourg-d'Oisans","Villard-de-Lans","Stage with mountain(s)","Laurent Fignon","","FRA","6.0306625","45.054713","5.551536","45.0705366"
"616","19","1989-07-21",125,"Villard-de-Lans","Aix-les-Bains","Stage with mountain(s)","Greg LeMond","","USA","5.551536","45.0705366","5.9146362","45.6886292"
"617","20","1989-07-22",130,"Aix-les-Bains","L'Isle-d'Abeau","Plain stage","Giovanni Fidanza","","ITA","5.9146362","45.6886292","5.2298398","45.6230017"
"618","21","1989-07-23",24.5,"Versailles","Paris","Individual time trial","Greg LeMond","","USA","2.1266886","48.8035403","2.32004102172008","48.8588897"
"619","P","1988-07-03",1,"Pornichet","La Baule","Individual time trial","Guido Bontempi","","ITA","-2.3364238","47.2613293","-2.3951595","47.2843726"
"620","1","1988-07-04",92,"Pontchâteau","Machecoul","Plain stage","Steve Bauer","","CAN","-2.0880233","47.4373374","-1.84803419885321","46.9919694"
"621","2","1988-07-04",48,"La Haie-Fouassière","Ancenis","Team time trial","Panasonic–Isostar–Colnago–Agu","","","-1.4000716","47.1546806","-1.1816088","47.3648141"
"622","3","1988-07-05",213,"Nantes","Le Mans","Plain stage","Jean-Paul van Poppel","","NED","-1.5541362","47.2186371","0.1967849","48.0073849"
"623","4","1988-07-06",158,"Le Mans","Évreux","Plain stage","Acácio da Silva","","POR","0.1967849","48.0073849","1.1510164","49.0268903"
"624","5","1988-07-07",148,"Neufchâtel-en-Bray","Liévin","Plain stage","Jelle Nijdam","","NED","1.4421413","49.7350035","2.7738","50.4245"
"625","6","1988-07-08",52,"Liévin","Wasquehal","Individual time trial","Sean Yates","","GBR","2.7738","50.4245","3.1312447","50.6691577"
"626","7","1988-07-09",225,"Wasquehal","Reims","Plain stage","Valerio Tebaldi","","ITA","3.1312447","50.6691577","4.031926","49.2577886"
"627","8","1988-07-10",219,"Reims","Nancy","Plain stage","Rolf Gölz","","GER","4.031926","49.2577886","6.1834097","48.6937223"
"628","9","1988-07-11",161,"Nancy","Strasbourg","Hilly stage","Jérôme Simon","","FRA","6.1834097","48.6937223","7.7507127","48.584614"
"629","10","1988-07-12",149,"Belfort","Besançon","Hilly stage","Jean-Paul van Poppel","","NED","6.8628942","47.6379599","6.0243622","47.2380222"
"630","11","1988-07-13",232,"Besançon","Morzine","Stage with mountain(s)","Fabio Parra","","COL","6.0243622","47.2380222","6.7091057","46.1799561"
"631","12","1988-07-14",227,"Morzine","Alpe d'Huez","Stage with mountain(s)","Steven Rooks","","NED","6.7091057","46.1799561","6.0699443","45.092401"
"632","13","1988-07-15",38,"Grenoble","Villard-de-Lans","Mountain time trial","Pedro Delgado","","ESP","5.7357819","45.1875602","5.551536","45.0705366"
"633","14","1988-07-17",163,"Blagnac","Guzet-Neige","Stage with mountain(s)","Massimo Ghirotto","","ITA","1.37799","43.6434","1.3020896","42.7791077"
"634","15","1988-07-18",187,"Saint-Girons","Luz Ardiden","Stage with mountain(s)","Laudelino Cubino","","ESP","1.1464455","42.9841865","-0.058821","42.8850872"
"635","16","1988-07-19",35,"Luz Ardiden","Pau","Plain stage","Adrie van der Poel","","NED","-0.058821","42.8850872","-0.3685668","43.2957547"
"636","17","1988-07-19",198,"Pau","Bordeaux","Plain stage","Jean-Paul van Poppel","","NED","-0.3685668","43.2957547","-0.5800364","44.841225"
"637","18","1988-07-20",94,"Ruelle-sur-Touvre","Limoges","Plain stage","Gianni Bugno","","ITA","0.2186769","45.6764688","1.2644847","45.8354243"
"638","19","1988-07-21",188,"Limoges","Puy de Dôme","Hilly stage","Johnny Weltz","","DEN","1.2644847","45.8354243","3.0839934206717934","45.7715343"
"639","20","1988-07-22",223,"Clermont-Ferrand","Chalon-sur-Saône","Plain stage","Thierry Marie","","FRA","3.0819427","45.7774551","4.8529605","46.7888997"
"640","21","1988-07-23",46,"Santenay","Santenay","Individual time trial","Juan Martinéz","","ESP","4.6996302","46.9115071","4.6996302","46.9115071"
"641","22","1988-07-24",173,"Nemours","Paris","Plain stage","Jean-Paul van Poppel","","NED","2.6953079","48.268026","2.32004102172008","48.8588897"
"642","P","1987-07-01",6,"West Berlin","West Berlin","Individual time trial","Jelle Nijdam","","NED","-64.5827869","44.0742673","-64.5827869","44.0742673"
"643","1","1987-07-02",105,"West Berlin","West Berlin","Plain stage","Nico Verhoeven","","NED","-64.5827869","44.0742673","-64.5827869","44.0742673"
"644","2","1987-07-02",41,"West Berlin","West Berlin","Team time trial","Carrera Jeans–Vagabond","","","-64.5827869","44.0742673","-64.5827869","44.0742673"
"645","3","1987-07-04",219,"Karlsruhe","Stuttgart","Plain stage","Acácio da Silva","","POR","8.4034195","49.0068705","9.1800132","48.7784485"
"646","4","1987-07-05",79,"Stuttgart","Pforzheim","Plain stage","Herman Frison","","BEL","9.1800132","48.7784485","8.7029532","48.8908846"
"647","5","1987-07-05",112,"Pforzheim","Strasbourg","Plain stage","Marc Sergeant","","BEL","8.7029532","48.8908846","7.7507127","48.584614"
"648","6","1987-07-06",169,"Strasbourg","Épinal","Plain stage","Christophe Lavainne","","FRA","7.7507127","48.584614","6.4503643","48.1747684"
"649","7","1987-07-07",211,"Épinal","Troyes","Plain stage","Manuel Jorge Domínguez[8]","","ESP","6.4503643","48.1747684","4.0746257","48.2971626"
"650","8","1987-07-08",206,"Troyes","Épinay-sous-Sénart","Plain stage","Jean-Paul van Poppel","","NED","4.0746257","48.2971626","2.5162","48.6877"
"651","9","1987-07-09",260,"Orléans","Renazé","Plain stage","Adrie van der Poel","","NED","1.9086066","47.9027336","-1.0557842","47.793333"
"652","10","1987-07-10",87,"Saumur","Futuroscope","Individual time trial","Stephen Roche","","IRE","-0.0785177","47.2596224","0.37011713319626693","46.6703888"
"653","11","1987-07-11",206,"Poitiers","Chaumeil","Hilly stage","Martial Gayant","","FRA","0.340196","46.5802596","1.8808583","45.4555541"
"654","12","1987-07-12",228,"Brive","Bordeaux","Plain stage","Davis Phinney","","USA","5.7977896","46.3738887","-0.5800364","44.841225"
"655","13","1987-07-13",219,"Bayonne","Pau","Stage with mountain(s)","Erik Breukink","","NED","-1.4736657","43.4945144","-0.3685668","43.2957547"
"656","14","1987-07-14",166,"Pau","Luz Ardiden","Stage with mountain(s)","Dag Otto Lauritzen","","NOR","-0.3685668","43.2957547","-0.058821","42.8850872"
"657","15","1987-07-15",164,"Tarbes","Blagnac","Plain stage","Rolf Gölz","","GER","0.0781021","43.232858","1.37799","43.6434"
"658","16","1987-07-16",216,"Blagnac","Millau","Hilly stage","Régis Clère","","FRA","1.37799","43.6434","3.0777594","44.1006693"
"659","17","1987-07-17",239,"Millau","Avignon","Hilly stage","Jean-Paul van Poppel","","NED","3.0777594","44.1006693","4.8059012","43.9492493"
"660","18","1987-07-19",37,"Carpentras","Mont Ventoux","Mountain time trial","Jean-François Bernard","","FRA","5.0487681","44.0554043","5.2783976","44.1739649"
"661","19","1987-07-20",185,"Valréas","Villard-de-Lans","Stage with mountain(s)","Pedro Delgado","","ESP","4.9906089","44.3851455","5.551536","45.0705366"
"662","20","1987-07-21",201,"Villard-de-Lans","Alpe d'Huez","Stage with mountain(s)","Federico Echave","","ESP","5.551536","45.0705366","6.0699443","45.092401"
"663","21","1987-07-22",185,"Le Bourg-d'Oisans","La Plagne","Stage with mountain(s)","Laurent Fignon","","FRA","6.0306625","45.054713","1.3738302","43.2273738"
"664","22","1987-07-23",186,"La Plagne","Morzine","Stage with mountain(s)","Eduardo Chozas","","ESP","1.3738302","43.2273738","6.7091057","46.1799561"
"665","23","1987-07-24",225,"Saint-Julien-en-Genevois","Dijon","Plain stage","Régis Clère","","FRA","6.0812467","46.1444789","5.0414701","47.3215806"
"666","24","1987-07-25",38,"Dijon","Dijon","Individual time trial","Jean-François Bernard","","FRA","5.0414701","47.3215806","5.0414701","47.3215806"
"667","25","1987-07-26",192,"Créteil","Paris","Plain stage","Jeff Pierce","","USA","2.4530731","48.7771486","2.32004102172008","48.8588897"
"668","P","1986-07-04",4.6,"Boulogne-Billancourt","Boulogne-Billancourt","Individual time trial","Thierry Marie","","FRA","2.240206","48.8356649","2.240206","48.8356649"
"669","1","1986-07-05",85,"Nanterre","Sceaux","Plain stage","Pol Verschuere","","BEL","2.2071267","48.8924273","4.02184485805033","47.5147285"
"670","2","1986-07-05",56,"Meudon","Saint-Quentin-en-Yvelines","Team time trial","Système U","","","2.2385432","48.8126688","2.015952118728746","48.7818613"
"671","3","1986-07-06",214,"Levallois-Perret","Liévin","Plain stage","Davis Phinney","","USA","2.2881683","48.892956","2.7738","50.4245"
"672","4","1986-07-07",243,"Liévin","Évreux","Plain stage","Pello Ruiz Cabestany","","ESP","2.7738","50.4245","1.1510164","49.0268903"
"673","5","1986-07-08",124.5,"Evreux","Villers-sur-Mer","Plain stage","Johan van der Velde","","NED","1.1510164","49.0268903","-0.0052517","49.3214437"
"674","6","1986-07-09",200,"Villers-sur-Mer","Cherbourg","Plain stage","Guido Bontempi","","ITA","-0.0052517","49.3214437","-1.6249565","49.6425343"
"675","7","1986-07-10",201,"Cherbourg","Saint-Hilaire-du-Harcouët","Plain stage","Ludo Peeters","","BEL","-1.6249565","49.6425343","-1.08546177886541","48.5714837"
"676","8","1986-07-11",204,"Saint-Hilaire-du-Harcouët","Nantes","Plain stage","Eddy Planckaert","","BEL","-1.08546177886541","48.5714837","-1.5541362","47.2186371"
"677","9","1986-07-12",61.5,"Nantes","Nantes","Individual time trial","Bernard Hinault","","FRA","-1.5541362","47.2186371","-1.5541362","47.2186371"
"678","10","1986-07-13",183,"Nantes","Futuroscope","Plain stage","Jose-Angel Sarrapio","","ESP","-1.5541362","47.2186371","0.37011713319626693","46.6703888"
"679","11","1986-07-14",258.3,"Futuroscope","Bordeaux","Plain stage","Rudy Dhaenens","","BEL","0.37011713319626693","46.6703888","-0.5800364","44.841225"
"680","12","1986-07-15",217.5,"Bayonne","Pau","Stage with mountain(s)","Pedro Delgado","","ESP","-1.4736657","43.4945144","-0.3685668","43.2957547"
"681","13","1986-07-16",186,"Pau","Superbagnères","Stage with mountain(s)","Greg LeMond","","USA","-0.3685668","43.2957547","0.5780217","42.768303"
"682","14","1986-07-17",154,"Superbagnères","Blagnac","Plain stage","Niki Rüttimann","","SUI","0.5780217","42.768303","1.37799","43.6434"
"683","15","1986-07-18",225.5,"Carcassonne","Nîmes","Plain stage","Frank Hoste","","BEL","2.3491069","43.2130358","4.3600687","43.8374249"
"684","16","1986-07-19",246.5,"Nîmes","Gap","Plain stage","Jean-François Bernard","","FRA","4.3600687","43.8374249","6.0820639","44.5612032"
"685","17","1986-07-20",190,"Gap","Serre Chevalier","Stage with mountain(s)","Eduardo Chozas","","ESP","6.0820639","44.5612032","6.5500282","44.9107381"
"686","18","1986-07-21",162.5,"Briançon","Alpe d'Huez","Stage with mountain(s)","Bernard Hinault","","FRA","6.6436313","44.8984037","6.0699443","45.092401"
"687","19","1986-07-23",179.5,"Villard-de-Lans","Saint-Étienne","Plain stage","Julián Gorospe","","ESP","5.551536","45.0705366","4.3873058","45.4401467"
"688","20","1986-07-24",58,"Saint-Étienne","Saint-Étienne","Individual time trial","Bernard Hinault","","FRA","4.3873058","45.4401467","4.3873058","45.4401467"
"689","21","1986-07-25",190,"Saint-Étienne","Puy de Dôme","Plain stage","Erich Mächler","","SUI","4.3873058","45.4401467","3.0839934206717934","45.7715343"
"690","22","1986-07-26",194,"Clermont-Ferrand","Nevers","Plain stage","Guido Bontempi","","ITA","3.0819427","45.7774551","3.1577203","46.9876601"
"691","23","1986-07-27",255,"Cosne-sur-Loire","Paris","Plain stage","Guido Bontempi","","ITA","2.9273937","47.4115613","2.32004102172008","48.8588897"
"692","P","1985-06-28",6,"Plumelec","Plumelec","Individual time trial","Bernard Hinault","","FRA","-2.6396508","47.8378469","-2.6396508","47.8378469"
"693","1","1985-06-29",256,"Vannes","Lanester","Plain stage","Rudy Matthijs","","BEL","-2.7599079","47.6586772","-3.3444489","47.7639726"
"694","2","1985-06-30",242,"Lorient","Vitre","Plain stage","Rudy Matthijs","","BEL","-3.3660907","47.7477336","-1.214331","48.1244503"
"695","3","1985-07-01",73,"Vitre","Fougères","Team time trial","La Vie Claire","","","-1.214331","48.1244503","-1.1958526","48.3503362"
"696","4","1985-07-02",239,"Fougères","Pont-Audemer","Plain stage","Gerrit Solleveld","","NED","-1.1958526","48.3503362","0.53331674861374","49.34758065"
"697","5","1985-07-03",224,"Neufchâtel-en-Bray","Roubaix","Plain stage with cobblestones","Henri Manders","","NED","1.4421413","49.7350035","3.1741734","50.6915893"
"698","6","1985-07-04",222,"Roubaix","Reims","Plain stage","Francis Castaing","","FRA","3.1741734","50.6915893","4.031926","49.2577886"
"699","7","1985-07-05",217,"Reims","Nancy","Plain stage","Ludwig Wijnants","","BEL","4.031926","49.2577886","6.1834097","48.6937223"
"700","8","1985-07-06",75,"Sarrebourg","Strasbourg","Individual time trial","Bernard Hinault","","FRA","7.0557352","48.734239","7.7507127","48.584614"
"701","9","1985-07-07",174,"Strasbourg","Épinal","Hilly stage","Maarten Ducrot","","NED","7.7507127","48.584614","6.4503643","48.1747684"
"702","10","1985-07-08",204,"Épinal","Pontarlier","Hilly stage","Jørgen V. Pedersen","","DEN","6.4503643","48.1747684","6.3546345","46.9040348"
"703","11","1985-07-09",195,"Pontarlier","Morzine Avoriaz","Stage with mountain(s)","Luis Herrera","","COL","6.3546345","46.9040348","6.7702857","46.1925439"
"704","12","1985-07-10",269,"Morzine Avoriaz","Lans-en-Vercors","Stage with mountain(s)","Fabio Parra","","COL","6.7702857","46.1925439","5.5891386","45.1277768"
"705","13","1985-07-11",32,"Villard-de-Lans","Villard-de-Lans","Individual time trial","Eric Vanderaerden","","BEL","5.551536","45.0705366","5.551536","45.0705366"
"706","14","1985-07-13",179,"Autrans","Saint-Étienne","Hilly stage","Luis Herrera","","COL","5.56091207456353","45.19969585","4.3873058","45.4401467"
"707","15","1985-07-14",238,"Saint-Étienne","Aurillac","Plain stage","Eduardo Chozas","","ESP","4.3873058","45.4401467","2.4433101","44.9285441"
"708","16","1985-07-15",247,"Aurillac","Toulouse","Plain stage","Frédéric Vichot","","FRA","2.4433101","44.9285441","1.4442469","43.6044622"
"709","17","1985-07-16",209,"Toulouse","Luz Ardiden","Stage with mountain(s)","Pedro Delgado","","ESP","1.4442469","43.6044622","-0.058821","42.8850872"
"710","18a","1985-07-17",53,"Luz-Saint-Sauveur","Aubisque","Stage with mountain(s)","Stephen Roche","","IRE","-0.0043418","42.8721142","1.4815669","43.5976434"
"711","18b","1985-07-17",83,"Laruns","Pau","Stage with mountain(s)","Régis Simon","","FRA","-0.4266324","42.9882368","-0.3685668","43.2957547"
"712","19","1985-07-18",203,"Pau","Bordeaux","Plain stage","Eric Vanderaerden","","BEL","-0.3685668","43.2957547","-0.5800364","44.841225"
"713","20","1985-07-19",225,"Montpon-Ménestérol","Limoges","Plain stage","Johan Lammerts","","NED","0.156728155082902","45.01624955","1.2644847","45.8354243"
"714","21","1985-07-20",46,"Lac de Vassivière","Lac de Vassivière","Individual time trial","Greg LeMond","","USA","1.9005095420269495","45.798008100000004","1.9005095420269495","45.798008100000004"
"715","22","1985-07-21",196,"Orléans","Paris","Plain stage","Rudy Matthijs","","BEL","1.9086066","47.9027336","2.32004102172008","48.8588897"
"716","P","1984-06-29",5,"Montreuil","Noisy-le-Sec","Individual time trial","Bernard Hinault","","FRA","1.7631125","50.4638918","2.4516055","48.8897751"
"717","1","1984-06-30",149,"Bondy","Saint-Denis","Plain stage","Frank Hoste","","BEL","2.48291","48.9031","2.3580232","48.935773"
"718","2","1984-07-01",249,"Bobigny","Louvroil","Plain stage","Marc Madiot","","FRA","2.4452231","48.906387","3.9623154","50.2644717"
"719","3","1984-07-02",51,"Louvroil","Valenciennes","Team time trial","Renault–Elf","","","3.9623154","50.2644717","3.5234846","50.3579317"
"720","4","1984-07-02",83,"Valenciennes","Béthune","Plain stage","Ferdi Van Den Haute","","BEL","3.5234846","50.3579317","2.6402097","50.5292608"
"721","5","1984-07-03",207,"Béthune","Cergy-Pontoise","Plain stage","Paulo Ferreira","","POR","2.6402097","50.5292608","2.0388736","49.0527528"
"722","6","1984-07-04",202,"Cergy-Pontoise","Alençon","Plain stage","Frank Hoste","","BEL","2.0388736","49.0527528","0.0911374","48.4312059"
"723","7","1984-07-05",67,"Alençon","Le Mans","Individual time trial","Laurent Fignon","","FRA","0.0911374","48.4312059","0.1967849","48.0073849"
"724","8","1984-07-06",192,"Le Mans","Nantes","Plain stage","Pascal Jules","","FRA","0.1967849","48.0073849","-1.5541362","47.2186371"
"725","9","1984-07-07",338,"Nantes","Bordeaux","Plain stage","Jan Raas","","NED","-1.5541362","47.2186371","-0.5800364","44.841225"
"726","10","1984-07-08",198,"Langon","Pau","Plain stage","Eric Vanderaerden","","BEL","-0.2449274","44.5530659","-0.3685668","43.2957547"
"727","11","1984-07-09",227,"Pau","Guzet-Neige","Stage with mountain(s)","Robert Millar","","GBR","-0.3685668","43.2957547","1.3020896","42.7791077"
"728","12","1984-07-10",111,"Saint-Girons","Blagnac","Plain stage","Pascal Poisson","","FRA","1.1464455","42.9841865","1.37799","43.6434"
"729","13","1984-07-11",220,"Blagnac","Rodez","Plain stage","Pierre-Henri Menthéour","","FRA","1.37799","43.6434","2.5727883","44.3513062"
"730","14","1984-07-12",228,"Rodez","Domaine du Rouret","Hilly stage","Fons De Wolf","","BEL","2.5727883","44.3513062",NA,NA
"731","15","1984-07-13",241,"Domaine du Rouret","Grenoble","Hilly stage","Frédéric Vichot","","FRA",NA,NA,"5.7357819","45.1875602"
"732","16","1984-07-15",22,"Les Échelles","La Ruchère","Individual time trial","Laurent Fignon","","FRA","5.7545566","45.4358859","5.801991","45.4099534"
"733","17","1984-07-16",151,"Grenoble","Alpe d'Huez","Stage with mountain(s)","Luis Herrera","","COL","5.7357819","45.1875602","6.0699443","45.092401"
"734","18","1984-07-17",185,"Le Bourg-d'Oisans","La Plagne","Stage with mountain(s)","Laurent Fignon","","FRA","6.0306625","45.054713","1.3738302","43.2273738"
"735","19","1984-07-18",186,"La Plagne","Morzine","Stage with mountain(s)","Ángel Arroyo","","ESP","1.3738302","43.2273738","6.7091057","46.1799561"
"736","20","1984-07-19",141,"Morzine","Crans-Montana","Stage with mountain(s)","Laurent Fignon","","FRA","6.7091057","46.1799561","7.52643580372213","46.3304899"
"737","21","1984-07-20",320,"Crans-Montana","Villefranche-sur-Saône","Hilly stage","Frank Hoste","","BEL","7.52643580372213","46.3304899","4.726611","45.9864749"
"738","22","1984-07-21",51,"Villié-Morgon","Villefranche-sur-Saône","Individual time trial","Laurent Fignon","","FRA","4.6812724","46.1612385","4.726611","45.9864749"
"739","23","1984-07-22",197,"Pantin","Paris","Hilly stage","Eric Vanderaerden","","BEL","2.4019804","48.8965023","2.32004102172008","48.8588897"
"740","P","1983-07-01",6,"Fontenay-sous-Bois","Fontenay-sous-Bois","Individual time trial","Eric Vanderaerden","","BEL","2.4749347","48.8490721","2.4749347","48.8490721"
"741","1","1983-07-02",163,"Nogent-sur-Marne","Créteil","Plain stage","Frits Pirard","","NED","2.4917292","48.8388009","2.4530731","48.7771486"
"742","2","1983-07-03",100,"Soissons","Fontaine-au-Pire","Team time trial","COOP–Mercier–Mavic","","","3.327613","49.3837621","3.3747544","50.1285441"
"743","3","1983-07-04",152,"Valenciennes","Roubaix","Hilly stage","Rudy Matthijs","","BEL","3.5234846","50.3579317","3.1741734","50.6915893"
"744","4","1983-07-05",300,"Roubaix","Le Havre","Plain stage","Serge Demierre","","SUI","3.1741734","50.6915893","0.1079732","49.4938975"
"745","5","1983-07-06",257,"Le Havre","Le Mans","Plain stage","Dominique Gaigne","","FRA","0.1079732","49.4938975","0.1967849","48.0073849"
"746","6","1983-07-07",58,"Châteaubriant","Nantes","Individual time trial","Bert Oosterbosch","","NED","-1.3757282","47.7194057","-1.5541362","47.2186371"
"747","7","1983-07-08",216,"Nantes","Île d'Oléron","Plain stage","Riccardo Magrini","","ITA","-1.5541362","47.2186371","-1.29199381020234","45.9254859"
"748","8","1983-07-09",222,"La Rochelle","Bordeaux","Plain stage","Bert Oosterbosch","","NED","-1.1520434","46.1591126","-0.5800364","44.841225"
"749","9","1983-07-10",207,"Bordeaux","Pau","Plain stage","Philippe Chevallier","","FRA","-0.5800364","44.841225","-0.3685668","43.2957547"
"750","10","1983-07-11",201,"Pau","Bagnères-de-Luchon","Stage with mountain(s)","Robert Millar","","GBR","-0.3685668","43.2957547","0.5912279","42.7910617"
"751","11","1983-07-12",177,"Bagnères-de-Luchon","Fleurance","Plain stage","Régis Clère","","FRA","0.5912279","42.7910617","0.6640617","43.849295"
"752","12","1983-07-13",261,"Fleurance","Roquefort-sur-Soulzon","Plain stage","Kim Andersen","","DEN","0.6640617","43.849295","2.9904721","43.9761756"
"753","13","1983-07-14",210,"Roquefort-sur-Soulzon","Aurillac","Hilly stage","Henk Lubberding","","NED","2.9904721","43.9761756","2.4433101","44.9285441"
"754","14","1983-07-15",149,"Aurillac","Issoire","Hilly stage","Pierre Le Bigaut","","FRA","2.4433101","44.9285441","3.2502213","45.5432973"
"755","15","1983-07-16",16,"Clermont-Ferrand","Puy de Dôme","Individual time trial","Ángel Arroyo","","ESP","3.0819427","45.7774551","3.0839934206717934","45.7715343"
"756","16","1983-07-17",144,"Issoire","Saint-Étienne","Hilly stage","Michel Laurent","","FRA","3.2502213","45.5432973","4.3873058","45.4401467"
"757","17","1983-07-18",223,"La Tour-du-Pin","Alpe d'Huez","Stage with mountain(s)","Peter Winnen","","NED","5.4424054","45.5666202","6.0699443","45.092401"
"758","18","1983-07-20",247,"Le Bourg-d'Oisans","Morzine","Stage with mountain(s)","Jacques Michaud","","FRA","6.0306625","45.054713","6.7091057","46.1799561"
"759","19","1983-07-21",15,"Morzine","Avoriaz","Individual time trial","Lucien Van Impe","","BEL","6.7091057","46.1799561","6.7702857","46.1925439"
"760","20","1983-07-22",291,"Morzine","Dijon","Plain stage","Philippe Leleu","","FRA","6.7091057","46.1799561","5.0414701","47.3215806"
"761","21","1983-07-23",50,"Dijon","Dijon","Individual time trial","Laurent Fignon","","FRA","5.0414701","47.3215806","5.0414701","47.3215806"
"762","22","1983-07-24",195,"Alfortville","Paris","Plain stage","Gilbert Glaus","","SUI","2.4197113","48.8051624","2.32004102172008","48.8588897"
"763","P","1982-07-02",7,"Basel","Basel","Individual time trial","Bernard Hinault","","FRA","7.5878261","47.5581077","7.5878261","47.5581077"
"764","1","1982-07-03",207,"Basel","Möhlin","Hilly stage","Ludo Peeters","","BEL","7.5878261","47.5581077","7.8431299","47.560991"
"765","2","1982-07-04",250,"Basel","Nancy","Plain stage","Phil Anderson","","AUS","7.5878261","47.5581077","6.1834097","48.6937223"
"766","3","1982-07-05",134,"Nancy","Longwy","Plain stage","Daniel Willems","","BEL","6.1834097","48.6937223","5.7679082","49.5145564"
"767","4","1982-07-06",219,"Beauraing","Mouscron","Plain stage","Gerrie Knetemann","","NED","4.96406872787755","50.0914866","3.2142729","50.7436672"
"768","5","1982-07-07",73,"Orchies","Fontaine-au-Pire","Team time trial","Cancelled and replaced by stage 9a","","","3.2425313","50.4745024","3.3747544","50.1285441"
"769","6","1982-07-08",233,"Lille","Lille","Plain stage","Jan Raas","","NED","3.0635282","50.6365654","3.0635282","50.6365654"
"770","7","1982-07-10",235,"Cancale","Concarneau","Plain stage","Pol Verschuere","","BEL","-1.8506953","48.6771721","-3.9223889","47.8757017"
"771","8","1982-07-11",201,"Concarneau","Châteaulin","Plain stage","Frank Hoste","","BEL","-3.9223889","47.8757017","-4.0916875","48.1968026"
"772","9a","1982-07-12",69,"Lorient","Plumelec","Team time trial","Renault–Elf–Gitane","","","-3.3660907","47.7477336","-2.6396508","47.8378469"
"773","9b","1982-07-12",138,"Plumelec","Nantes","Plain stage","Stefan Mutter","","SUI","-2.6396508","47.8378469","-1.5541362","47.2186371"
"774","10","1982-07-13",147,"Saintes","Bordeaux","Plain stage","Pierre-Raymond Villemiane","","FRA","-0.6300671","45.7460663","-0.5800364","44.841225"
"775","11","1982-07-14",57,"Valence d'Agen","Valence d'Agen","Individual time trial","Gerrie Knetemann","","NED","0.8902778","44.1111111","0.8902778","44.1111111"
"776","12","1982-07-15",249,"Fleurance","Pau","Stage with mountain(s)","Sean Kelly","","IRE","0.6640617","43.849295","-0.3685668","43.2957547"
"777","13","1982-07-16",122,"Pau","Saint-Lary-Soulan Pla d'Adet","Stage with mountain(s)","Beat Breu","","SUI","-0.3685668","43.2957547","0.2947084","42.8125539"
"778","14","1982-07-18",33,"Martigues","Martigues","Individual time trial","Bernard Hinault","","FRA","5.0548176","43.4057279","5.0548176","43.4057279"
"779","15","1982-07-19",208,"Manosque","Orcières-Merlette","Stage with mountain(s)","Pascal Simon","","FRA","5.7826657","43.8338026","6.3235516","44.6972064"
"780","16","1982-07-20",123,"Orcières-Merlette","Alpe d'Huez","Stage with mountain(s)","Beat Breu","","SUI","6.3235516","44.6972064","6.0699443","45.092401"
"781","17","1982-07-21",251,"Le Bourg-d'Oisans","Morzine","Stage with mountain(s)","Peter Winnen","","NED","6.0306625","45.054713","6.7091057","46.1799561"
"782","18","1982-07-22",233,"Morzine","Saint-Priest","Plain stage","Adrie van Houwelingen","","NED","6.7091057","46.1799561","4.54685","44.7177"
"783","19","1982-07-23",48,"Saint-Priest","Saint-Priest","Individual time trial","Bernard Hinault","","FRA","4.54685","44.7177","4.54685","44.7177"
"784","20","1982-07-24",161,"Sens","Aulnay-sous-Bois","Plain stage","Daniel Willems","","BEL","3.282606","48.1978559","2.499789","48.934231"
"785","21","1982-07-25",187,"Fontenay-sous-Bois","Paris","Plain stage","Bernard Hinault","","FRA","2.4749347","48.8490721","2.32004102172008","48.8588897"
"786","P","1981-06-25",6,"Nice","Nice","Individual time trial","Bernard Hinault","","FRA","7.2683912","43.7009358","7.2683912","43.7009358"
"787","1a","1981-06-26",97,"Nice","Nice","Hilly stage","Freddy Maertens","","BEL","7.2683912","43.7009358","7.2683912","43.7009358"
"788","1b","1981-06-26",40,"Nice","Nice","Team time trial","TI–Raleigh–Creda[11]","","","7.2683912","43.7009358","7.2683912","43.7009358"
"789","2","1981-06-27",254,"Nice","Martigues","Plain stage","Johan van der Velde","","NED","7.2683912","43.7009358","5.0548176","43.4057279"
"790","3","1981-06-28",232,"Martigues","Narbonne","Plain stage","Freddy Maertens","","BEL","5.0548176","43.4057279","3.0042121","43.1837661"
"791","4","1981-06-29",77,"Narbonne","Carcassonne","Team time trial","TI–Raleigh–Creda","","","3.0042121","43.1837661","2.3491069","43.2130358"
"792","5","1981-06-30",117,"Saint-Gaudens","Pla d'Adet","Stage with mountain(s)","Lucien Van Impe","","BEL","0.7247218","43.1077682","0.2947084","42.8125539"
"793","6","1981-07-01",27,"Nay","Pau","Individual time trial","Bernard Hinault","","FRA","-0.2621768","43.1798743","-0.3685668","43.2957547"
